 #as colunas representam na ordem:
 # x(t)             y(t)             vx(t)           vy(t)             t
  -90.0000000       80.0000000      -5.00000000       13.0000000       0.00000000    
  -92.0000000       85.1999969      -5.00000000       13.0000000      0.400000006    
  -94.0000000       90.3999939      -5.00000000       13.0000000      0.800000012    
  -96.0000000       95.5999908      -5.00000000       13.0000000       1.20000005    
  -98.0000000       100.799988      -5.00000000      -13.0000000       1.60000002    
  -100.000000       95.5999908       5.00000000      -13.0000000       2.00000000    
  -98.0000000       90.3999939       5.00000000      -13.0000000       2.40000010    
  -96.0000000       85.1999969       5.00000000      -13.0000000       2.80000019    
  -94.0000000       80.0000000       5.00000000      -13.0000000       3.20000029    
  -92.0000000       74.8000031       5.00000000      -13.0000000       3.60000038    
  -90.0000000       69.6000061       5.00000000      -13.0000000       4.00000048    
  -88.0000000       64.4000092       5.00000000      -13.0000000       4.40000057    
  -86.0000000       59.2000084       5.00000000      -13.0000000       4.80000067    
  -84.0000000       54.0000076       5.00000000      -13.0000000       5.20000076    
  -82.0000000       48.8000069       5.00000000      -13.0000000       5.60000086    
  -80.0000000       43.6000061       5.00000000      -13.0000000       6.00000095    
  -78.0000000       38.4000053       5.00000000      -13.0000000       6.40000105    
  -76.0000000       33.2000046       5.00000000      -13.0000000       6.80000114    
  -74.0000000       28.0000038       5.00000000      -13.0000000       7.20000124    
  -72.0000000       22.8000031       5.00000000      -13.0000000       7.60000134    
  -70.0000000       17.6000023       5.00000000      -13.0000000       8.00000095    
  -68.0000000       12.4000015       5.00000000      -13.0000000       8.40000057    
  -66.0000000       7.20000124       5.00000000      -13.0000000       8.80000019    
  -64.0000000       2.00000095       5.00000000      -13.0000000       9.19999981    
  -62.0000000      -3.19999933       5.00000000      -13.0000000       9.59999943    
  -60.0000000      -8.39999962       5.00000000      -13.0000000       9.99999905    
  -58.0000000      -13.6000004       5.00000000      -13.0000000       10.3999987    
  -56.0000000      -18.8000011       5.00000000      -13.0000000       10.7999983    
  -54.0000000      -24.0000019       5.00000000      -13.0000000       11.1999979    
  -52.0000000      -29.2000027       5.00000000      -13.0000000       11.5999975    
  -50.0000000      -34.4000015       5.00000000      -13.0000000       11.9999971    
  -48.0000000      -39.6000023       5.00000000      -13.0000000       12.3999968    
  -46.0000000      -44.8000031       5.00000000      -13.0000000       12.7999964    
  -44.0000000      -50.0000038       5.00000000      -13.0000000       13.1999960    
  -42.0000000      -55.2000046       5.00000000      -13.0000000       13.5999956    
  -40.0000000      -60.4000053       5.00000000      -13.0000000       13.9999952    
  -38.0000000      -65.6000061       5.00000000      -13.0000000       14.3999949    
  -36.0000000      -70.8000031       5.00000000      -13.0000000       14.7999945    
  -34.0000000      -76.0000000       5.00000000      -13.0000000       15.1999941    
  -32.0000000      -81.1999969       5.00000000      -13.0000000       15.5999937    
  -30.0000000      -86.3999939       5.00000000      -13.0000000       15.9999933    
  -28.0000000      -91.5999908       5.00000000      -13.0000000       16.3999939    
  -26.0000000      -96.7999878       5.00000000      -13.0000000       16.7999935    
  -24.0000000      -101.999985       5.00000000       13.0000000       17.1999931    
  -22.0000000      -96.7999878       5.00000000       13.0000000       17.5999928    
  -20.0000000      -91.5999908       5.00000000       13.0000000       17.9999924    
  -18.0000000      -86.3999939       5.00000000       13.0000000       18.3999920    
  -16.0000000      -81.1999969       5.00000000       13.0000000       18.7999916    
  -14.0000000      -76.0000000       5.00000000       13.0000000       19.1999912    
  -12.0000000      -70.8000031       5.00000000       13.0000000       19.5999908    
  -10.0000000      -65.6000061       5.00000000       13.0000000       19.9999905    
  -8.00000000      -60.4000053       5.00000000       13.0000000       20.3999901    
  -6.00000000      -55.2000046       5.00000000       13.0000000       20.7999897    
  -4.00000000      -50.0000038       5.00000000       13.0000000       21.1999893    
  -2.00000000      -44.8000031       5.00000000       13.0000000       21.5999889    
   0.00000000      -39.6000023       5.00000000       13.0000000       21.9999886    
   2.00000000      -34.4000015       5.00000000       13.0000000       22.3999882    
   4.00000000      -29.2000008       5.00000000       13.0000000       22.7999878    
   6.00000000      -24.0000000       5.00000000       13.0000000       23.1999874    
   8.00000000      -18.7999992       5.00000000       13.0000000       23.5999870    
   10.0000000      -13.5999985       5.00000000       13.0000000       23.9999866    
   12.0000000      -8.39999771       5.00000000       13.0000000       24.3999863    
   14.0000000      -3.19999743       5.00000000       13.0000000       24.7999859    
   16.0000000       2.00000286       5.00000000       13.0000000       25.1999855    
   18.0000000       7.20000315       5.00000000       13.0000000       25.5999851    
   20.0000000       12.4000034       5.00000000       13.0000000       25.9999847    
   22.0000000       17.6000042       5.00000000       13.0000000       26.3999844    
   24.0000000       22.8000050       5.00000000       13.0000000       26.7999840    
   26.0000000       28.0000057       5.00000000       13.0000000       27.1999836    
   28.0000000       33.2000046       5.00000000       13.0000000       27.5999832    
   30.0000000       38.4000053       5.00000000       13.0000000       27.9999828    
   32.0000000       43.6000061       5.00000000       13.0000000       28.3999825    
   34.0000000       48.8000069       5.00000000       13.0000000       28.7999821    
   36.0000000       54.0000076       5.00000000       13.0000000       29.1999817    
   38.0000000       59.2000084       5.00000000       13.0000000       29.5999813    
   40.0000000       64.4000092       5.00000000       13.0000000       29.9999809    
   42.0000000       69.6000061       5.00000000       13.0000000       30.3999805    
   44.0000000       74.8000031       5.00000000       13.0000000       30.7999802    
   46.0000000       80.0000000       5.00000000       13.0000000       31.1999798    
   48.0000000       85.1999969       5.00000000       13.0000000       31.5999794    
   50.0000000       90.3999939       5.00000000       13.0000000       31.9999790    
   52.0000000       95.5999908       5.00000000       13.0000000       32.3999786    
   54.0000000       100.799988       5.00000000      -13.0000000       32.7999802    
   56.0000000       95.5999908       5.00000000      -13.0000000       33.1999817    
   58.0000000       90.3999939       5.00000000      -13.0000000       33.5999832    
   60.0000000       85.1999969       5.00000000      -13.0000000       33.9999847    
   62.0000000       80.0000000       5.00000000      -13.0000000       34.3999863    
   64.0000000       74.8000031       5.00000000      -13.0000000       34.7999878    
   66.0000000       69.6000061       5.00000000      -13.0000000       35.1999893    
   68.0000000       64.4000092       5.00000000      -13.0000000       35.5999908    
   70.0000000       59.2000084       5.00000000      -13.0000000       35.9999924    
   72.0000000       54.0000076       5.00000000      -13.0000000       36.3999939    
   74.0000000       48.8000069       5.00000000      -13.0000000       36.7999954    
   76.0000000       43.6000061       5.00000000      -13.0000000       37.1999969    
   78.0000000       38.4000053       5.00000000      -13.0000000       37.5999985    
   80.0000000       33.2000046       5.00000000      -13.0000000       38.0000000    
   82.0000000       28.0000038       5.00000000      -13.0000000       38.4000015    
   84.0000000       22.8000031       5.00000000      -13.0000000       38.8000031    
   86.0000000       17.6000023       5.00000000      -13.0000000       39.2000046    
   88.0000000       12.4000015       5.00000000      -13.0000000       39.6000061    
   90.0000000       7.20000124       5.00000000      -13.0000000       40.0000076    
   92.0000000       2.00000095       5.00000000      -13.0000000       40.4000092    
   94.0000000      -3.19999933       5.00000000      -13.0000000       40.8000107    
   96.0000000      -8.39999962       5.00000000      -13.0000000       41.2000122    
   98.0000000      -13.6000004       5.00000000      -13.0000000       41.6000137    
   100.000000      -18.8000011      -5.00000000      -13.0000000       42.0000153    
   98.0000000      -24.0000019      -5.00000000      -13.0000000       42.4000168    
   96.0000000      -29.2000027      -5.00000000      -13.0000000       42.8000183    
   94.0000000      -34.4000015      -5.00000000      -13.0000000       43.2000198    
   92.0000000      -39.6000023      -5.00000000      -13.0000000       43.6000214    
   90.0000000      -44.8000031      -5.00000000      -13.0000000       44.0000229    
   88.0000000      -50.0000038      -5.00000000      -13.0000000       44.4000244    
   86.0000000      -55.2000046      -5.00000000      -13.0000000       44.8000259    
   84.0000000      -60.4000053      -5.00000000      -13.0000000       45.2000275    
   82.0000000      -65.6000061      -5.00000000      -13.0000000       45.6000290    
   80.0000000      -70.8000031      -5.00000000      -13.0000000       46.0000305    
   78.0000000      -76.0000000      -5.00000000      -13.0000000       46.4000320    
   76.0000000      -81.1999969      -5.00000000      -13.0000000       46.8000336    
   74.0000000      -86.3999939      -5.00000000      -13.0000000       47.2000351    
   72.0000000      -91.5999908      -5.00000000      -13.0000000       47.6000366    
   70.0000000      -96.7999878      -5.00000000      -13.0000000       48.0000381    
   68.0000000      -101.999985      -5.00000000       13.0000000       48.4000397    
   66.0000000      -96.7999878      -5.00000000       13.0000000       48.8000412    
   64.0000000      -91.5999908      -5.00000000       13.0000000       49.2000427    
   62.0000000      -86.3999939      -5.00000000       13.0000000       49.6000443    
   60.0000000      -81.1999969      -5.00000000       13.0000000       50.0000458    
   58.0000000      -76.0000000      -5.00000000       13.0000000       50.4000473    
   56.0000000      -70.8000031      -5.00000000       13.0000000       50.8000488    
   54.0000000      -65.6000061      -5.00000000       13.0000000       51.2000504    
   52.0000000      -60.4000053      -5.00000000       13.0000000       51.6000519    
   50.0000000      -55.2000046      -5.00000000       13.0000000       52.0000534    
   48.0000000      -50.0000038      -5.00000000       13.0000000       52.4000549    
   46.0000000      -44.8000031      -5.00000000       13.0000000       52.8000565    
   44.0000000      -39.6000023      -5.00000000       13.0000000       53.2000580    
   42.0000000      -34.4000015      -5.00000000       13.0000000       53.6000595    
   40.0000000      -29.2000008      -5.00000000       13.0000000       54.0000610    
   38.0000000      -24.0000000      -5.00000000       13.0000000       54.4000626    
   36.0000000      -18.7999992      -5.00000000       13.0000000       54.8000641    
   34.0000000      -13.5999985      -5.00000000       13.0000000       55.2000656    
   32.0000000      -8.39999771      -5.00000000       13.0000000       55.6000671    
   30.0000000      -3.19999743      -5.00000000       13.0000000       56.0000687    
   28.0000000       2.00000286      -5.00000000       13.0000000       56.4000702    
   26.0000000       7.20000315      -5.00000000       13.0000000       56.8000717    
   24.0000000       12.4000034      -5.00000000       13.0000000       57.2000732    
   22.0000000       17.6000042      -5.00000000       13.0000000       57.6000748    
   20.0000000       22.8000050      -5.00000000       13.0000000       58.0000763    
   18.0000000       28.0000057      -5.00000000       13.0000000       58.4000778    
   16.0000000       33.2000046      -5.00000000       13.0000000       58.8000793    
   14.0000000       38.4000053      -5.00000000       13.0000000       59.2000809    
   12.0000000       43.6000061      -5.00000000       13.0000000       59.6000824    
   10.0000000       48.8000069      -5.00000000       13.0000000       60.0000839    
   8.00000000       54.0000076      -5.00000000       13.0000000       60.4000854    
   6.00000000       59.2000084      -5.00000000       13.0000000       60.8000870    
   4.00000000       64.4000092      -5.00000000       13.0000000       61.2000885    
   2.00000000       69.6000061      -5.00000000       13.0000000       61.6000900    
   0.00000000       74.8000031      -5.00000000       13.0000000       62.0000916    
  -2.00000000       80.0000000      -5.00000000       13.0000000       62.4000931    
  -4.00000000       85.1999969      -5.00000000       13.0000000       62.8000946    
  -6.00000000       90.3999939      -5.00000000       13.0000000       63.2000961    
  -8.00000000       95.5999908      -5.00000000       13.0000000       63.6000977    
  -10.0000000       100.799988      -5.00000000      -13.0000000       64.0000992    
  -12.0000000       95.5999908      -5.00000000      -13.0000000       64.4001007    
  -14.0000000       90.3999939      -5.00000000      -13.0000000       64.8001022    
  -16.0000000       85.1999969      -5.00000000      -13.0000000       65.2001038    
  -18.0000000       80.0000000      -5.00000000      -13.0000000       65.6001053    
  -20.0000000       74.8000031      -5.00000000      -13.0000000       66.0001068    
  -22.0000000       69.6000061      -5.00000000      -13.0000000       66.4001083    
  -24.0000000       64.4000092      -5.00000000      -13.0000000       66.8001099    
  -26.0000000       59.2000084      -5.00000000      -13.0000000       67.2001114    
  -28.0000000       54.0000076      -5.00000000      -13.0000000       67.6001129    
  -30.0000000       48.8000069      -5.00000000      -13.0000000       68.0001144    
  -32.0000000       43.6000061      -5.00000000      -13.0000000       68.4001160    
  -34.0000000       38.4000053      -5.00000000      -13.0000000       68.8001175    
